match_id,team_id,events,passes,shots,carries,pressures,goals,xg
3754261,22,1331,307,7,213,200,1,1.100948506
3754262,28,2045,599,12,426,180,2,1.017756209
3754262,59,1636,426,7,337,249,1,0.443226957
3754263,22,1591,478,12,310,128,1,1.329400686
3754263,31,1743,529,10,340,131,0,0.370666353
3754264,33,2186,593,14,493,260,5,2.240802984
3754264,37,1898,508,10,444,171,1,0.651762445
3754265,1,1846,514,10,410,163,1,1.574176436
3754265,38,1615,429,16,336,176,1,1.0868710365
3754266,23,1564,444,14,321,120,0,1.0907581123
3754266,31,1348,369,17,289,129,1,1.9453531033
3754267,23,2063,597,16,471,173,0,0.9004746056999999
3754267,27,1244,333,6,212,141,0,0.931385584
3754268,29,1662,482,7,423,58,0,0.328295836
3754268,38,1719,493,18,401,149,0,2.1179032895
3754269,26,2028,607,14,500,105,0,0.5468138025
3754269,30,1731,507,9,366,158,1,1.342431467
3754270,30,1714,476,15,372,152,2,2.596728009
3754270,38,1916,559,13,421,161,2,1.416129026
3754271,23,1842,502,13,375,156,2,2.122520269
3754271,37,1725,457,12,310,191,1,0.875526187
3754272,26,1909,545,12,461,163,2,0.494668151
3754272,30,1791,494,12,342,235,2,0.872941468
3754273,23,1627,457,21,311,150,2,1.846928826
3754273,40,1565,439,8,289,158,0,0.8667123723
3754274,28,1965,604,11,422,117,1,1.2321236673
3754274,30,1313,341,11,262,139,3,0.6718568456
3754275,22,1516,356,13,271,202,2,1.208182919
3754275,24,2080,621,14,431,146,0,0.455155367
3754276,37,1360,397,8,222,132,2,1.449065663
3754276,38,1772,558,20,340,126,1,1.110380464
3754277,29,1463,390,15,309,108,2,1.7149718735
3754277,40,1842,525,17,436,92,3,1.685694938
3754278,23,1648,472,11,308,175,1,1.167110321
3754278,28,1871,577,11,426,106,1,1.381279411
3754279,26,1872,548,7,385,141,1,0.9775453096
3754279,27,1508,444,9,294,150,0,0.619245952
3754280,33,1809,552,10,345,66,2,0.989851092
3754280,56,1743,515,13,369,112,1,1.0820943732
3754281,33,1661,445,17,350,134,1,1.859288581
3754281,39,1790,491,16,392,155,1,0.8071752835
3754282,25,1947,571,19,386,178,4,3.0150321064
3754282,59,1680,426,16,341,194,2,1.387935631
3754283,29,2097,642,16,538,90,4,2.321444905
3754283,59,1598,447,11,338,229,0,1.104697958
3754284,1,2571,760,16,689,110,2,1.318570899
3754284,27,1250,312,8,211,174,0,0.7341058055
3754285,40,1368,349,10,241,144,1,0.690334553
3754285,59,1761,501,15,350,151,1,1.556858276
3754286,23,1542,461,13,335,125,2,2.161614376
3754286,56,1452,440,9,269,102,0,0.5346139213
3754287,23,1348,370,13,238,169,1,1.6086157
3754287,33,1920,600,17,453,92,2,2.216405799
3754288,33,1686,498,9,399,98,1,0.7624511771
3754288,40,1489,426,12,309,124,2,0.7849844615999999
3754289,22,1641,443,14,341,127,1,1.537357255
3754289,23,1646,450,11,360,97,0,0.958143349
3754290,22,1366,319,12,249,166,3,1.64038069
3754290,36,2117,631,20,473,125,1,1.094154354
3754291,23,1343,393,9,218,119,1,1.104534993
3754291,38,1944,588,9,481,120,2,0.532679953
3754292,27,1143,270,7,170,175,0,0.490074025
3754292,37,1857,552,20,381,102,1,1.5263864437
3754293,30,1309,322,8,250,192,1,0.746911607
3754293,33,1779,533,18,384,99,0,0.853297224
3754294,24,2220,650,37,514,157,4,3.529073544
3754294,29,1334,334,3,247,155,0,0.123271698
3754295,39,2108,631,14,491,161,1,1.349152822
3754295,59,1346,335,7,280,185,0,0.347138962
3754296,1,1549,427,8,314,145,2,1.35397635
3754296,36,2310,705,19,558,132,1,1.24986528
3754297,27,1267,344,4,218,129,0,0.414056881
3754297,39,2318,702,13,555,157,2,1.4637146909999998
3754298,26,1706,464,12,349,176,0,0.7493634259999999
3754298,29,1808,512,17,406,145,0,1.655512489
3754299,29,1797,469,7,406,186,0,0.574951638
3754299,39,1998,555,10,432,205,1,0.864151107
3754300,23,1439,351,11,263,186,2,0.619914376
3754300,29,2125,644,11,473,122,2,0.780699622
3754301,1,2290,724,13,552,93,1,1.780279238
3754301,27,1213,286,4,191,198,1,0.418669605
3754302,22,1458,410,27,277,135,2,2.111764067
3754302,25,1505,417,13,262,156,2,1.364069168
3754303,26,1916,529,19,384,173,1,1.8272887257
3754303,31,1527,382,12,288,215,1,0.892524576
3754304,31,1749,519,19,384,86,5,1.589915167
3754304,37,1544,424,7,321,167,1,0.788583969
3754305,1,1528,388,14,288,170,3,1.767276259
3754305,24,2000,572,23,424,165,3,1.189892488
3754306,56,1567,456,13,293,142,0,1.146324345
3754306,59,1589,422,10,312,163,2,0.7414455280000001
3754307,30,1638,464,14,346,145,0,1.023264764
3754307,36,1890,519,11,462,133,4,2.9745786695
3754308,23,1615,463,22,300,142,2,2.033770745
3754308,41,1492,407,6,260,154,2,1.063275962
3754309,1,1977,593,8,495,84,0,0.791967786
3754309,25,1351,353,14,269,186,4,1.908696109
3754310,31,1413,357,5,299,158,0,0.220934547
3754310,39,2310,671,16,566,162,1,1.390864934
3754311,26,2372,759,8,632,85,0,0.4882892185
3754311,56,1317,384,9,282,97,1,1.0955278426
3754312,1,2155,615,20,499,155,1,1.7779091754
3754312,31,1622,430,11,337,130,1,1.274477265
3754313,36,2327,660,15,584,127,0,0.775856722
3754313,56,1469,363,5,250,189,0,0.217737854
3754314,1,1582,398,5,317,134,2,0.887442456
3754314,36,1970,550,14,442,135,2,0.738292164
3754315,28,1718,527,8,347,140,1,0.776672523
3754315,56,1643,477,12,362,120,3,1.319561857
3754316,24,2454,747,18,589,126,2,1.821307815
3754316,41,1250,315,7,203,157,2,0.5410910879999999
3754317,38,1729,467,17,326,220,3,2.517793423
3754317,56,1484,423,11,265,170,0,1.17513727
3754318,1,1588,420,11,311,152,2,0.7327627854
3754318,38,1834,482,25,380,224,2,1.248720347
3754319,26,1693,457,9,303,227,1,0.622184347
3754319,39,1943,545,19,438,171,2,1.510999581
3754320,25,1676,416,15,362,237,4,3.033850069
3754320,36,2224,623,6,535,188,2,0.755861508
3754321,30,1985,543,11,450,215,2,2.5902538287
3754321,59,1798,460,5,382,238,1,0.18260662
3754322,33,2033,567,12,491,182,0,0.985154689
3754322,36,1976,550,12,424,182,3,2.326003901
3754323,40,1513,401,19,307,199,2,2.282386951
3754323,56,1732,509,16,403,70,2,1.301720589
3754324,26,1375,360,11,243,125,1,1.374992891
3754324,38,1803,513,34,387,149,2,3.2185072414
3754325,25,2201,677,16,504,123,0,1.092335951
3754325,27,1386,372,8,266,149,0,0.598715993
3754326,26,1521,425,5,306,168,0,0.1861796299999999
3754326,31,1646,466,10,328,170,0,0.647612742
3754327,29,2027,590,10,469,130,3,1.871007249
3754327,59,1798,504,14,406,146,1,0.628781745
3754328,26,1876,529,13,471,111,1,1.234060959
3754328,36,2021,602,14,456,135,2,0.7830449
3754329,37,1949,561,14,449,157,0,0.8119911615000001
3754329,40,1377,357,17,268,129,2,2.092493351
3754330,30,1662,421,12,365,193,1,1.4088317786
3754330,59,1942,547,13,470,154,0,0.622719047
3754331,40,1651,463,9,357,116,1,0.864963301
3754331,41,1494,426,13,290,97,0,1.130619507
3754332,27,1224,273,16,194,213,1,0.9035067615
3754332,38,2076,581,17,524,133,0,1.060304189
3754333,37,1461,376,20,319,142,5,2.07848498
3754333,38,2089,617,17,468,157,1,0.870355886
3754334,25,1683,475,6,287,209,0,0.5324099383
3754334,28,1478,384,10,301,170,2,0.7096059495
3754335,22,1277,298,16,190,193,2,3.519109277
3754335,56,1957,603,17,429,88,1,1.2885968725
3754336,29,1530,406,14,328,159,3,1.210033051
3754336,33,2008,602,15,473,122,1,0.7957923840000001
3754337,25,1976,593,23,472,117,3,2.585694911
3754337,56,1445,396,6,305,133,0,0.77970669
3754338,37,1844,494,23,384,171,2,2.381780919
3754338,40,1744,483,10,383,139,1,1.574677352
3754339,28,1768,545,11,407,106,1,1.053380075
3754339,30,1517,430,8,306,153,2,1.084232396
3754340,26,1807,502,18,375,133,1,1.496363772
3754340,27,1589,444,18,287,164,1,2.191957054
3754341,22,1520,409,14,279,158,3,1.874635892
3754341,30,1735,489,3,348,151,0,0.1519450889999999
3754342,23,1328,322,14,241,188,0,1.2530252447
3754342,24,2028,599,19,425,142,2,3.1386999403
3754343,22,1223,323,7,203,129,0,0.801468854
3754343,24,1982,618,26,414,146,1,1.777294086
3754344,26,2348,699,19,597,161,2,1.8072480083
3754344,37,1350,362,4,246,173,0,0.128725608
3754345,24,1866,518,20,414,148,0,1.419035716
3754345,39,1810,477,7,381,213,1,0.5090192713
3754346,23,1664,455,11,337,116,0,1.081408015
3754346,36,1730,480,16,346,126,2,0.9432198607
3754347,39,1948,567,21,444,118,0,1.9252535395
3754347,40,1352,339,9,245,145,0,0.625474474
3754348,24,1830,478,14,375,182,5,1.622103521
3754348,56,1669,452,7,317,151,4,1.2293922119999998
3754349,38,2047,551,9,425,188,0,1.132619027
3754349,40,1429,333,14,235,217,1,0.8060585825
3754350,27,1115,225,6,152,178,1,0.987103677
3754350,29,2375,726,32,570,133,0,1.794585826
3754351,24,1841,563,22,393,105,1,1.795278301
3754351,31,1302,324,9,258,156,2,0.575604102
