player_id,player_name,position_name
12325,Abdul Rahman Baba,Left Back
12608,Bradley Guzan,Goalkeeper
13042,Tim Howard,Goalkeeper
13200,Oluwaseyi Babajide Ojo,Right Midfield
13248,Eunan O''Kane,Right Center Midfield
13286,Lamine Koné,Right Center Back
13448,Bradley Shaun Smith,Left Back
13573,Yann Kermorgant,Center Forward
13846,Jan Kirchhoff,Center Defensive Midfield
13848,Marc Wilson,Right Center Back
15542,Jake-Liam Clarke-Salter,Left Back
15892,Jordon Mutch,Center Attacking Midfield
15996,Éderzito António Macedo Lopes,Center Forward
16003,Fernando Francisco Reges,Right Defensive Midfield
16027,Kevin Mbabu,Left Back
16067,Josh Onomah,Right Wing
16072,Vurnon Anita,Right Center Midfield
16181,Jordy Clasie,Left Defensive Midfield
16295,Dame N''Doye,Right Midfield
16309,Joel Robles Blázquez,Goalkeeper
16334,Graham Dorrans,Right Center Midfield
16457,Jeremain Lens,Right Wing
16890,John O''Shea,Left Center Back
16932,Youssouf Chafiq Mulumbu Ngangu,Left Defensive Midfield
17276,Seydou Doumbia,Center Forward
18404,José Ángel Crespo Rincón,Right Center Back
18414,Bastian Schweinsteiger,Left Defensive Midfield
18672,Mark Bunn,Goalkeeper
18751,Jack Rodwell,Left Center Midfield
18872,Martin Škrtel,Right Center Back
18947,Sébastien Pocognoli,Left Back
19288,Martín Gastón Demichelis,Right Center Back
19362,Rudy Gestede,Center Forward
19688,Jason Puncheon,Center Attacking Midfield
19847,Alessandro Diamanti,Left Wing
20005,Toby Alderweireld,Right Center Back
20039,Anthony Martial,Left Wing
20045,Ryan Bertrand,Left Back
20046,Phil Jagielka,Left Center Back
20066,Darren Randolph,Goalkeeper
20067,Darron Gibson,Left Center Midfield
20074,Artur Boruc,Goalkeeper
20201,Maarten Stekelenburg,Goalkeeper
20230,Gökhan İnler,Right Defensive Midfield
20253,Samir Nasri,Left Wing
20285,Joleon Lescott,Left Center Back
20287,John Terry,Left Center Back
20302,Gaël Clichy,Left Back
20446,Shay Given,Goalkeeper
20521,Bafétimbi Gomis,Center Forward
20527,Jonas Olsson,Left Center Back
20543,Nikica Jelavić,Center Forward
20641,Connor Wickham,Center Forward
20781,Jordan Rossiter,Center Defensive Midfield
20951,Jordan Lyden,Right Wing Back
21212,Russell Martin,Right Center Back
21254,Carl Jenkinson,Right Back
21540,Kevin Nolan,Right Attacking Midfield
22058,Connor Steven Randall,Right Back
22237,Mamadou Obbi Oularé,Right Center Midfield
22281,Duncan Watmore,Right Wing
22594,Matt Jarvis,Left Midfield
22622,Kieran O''Neill Dowell,Right Wing
22702,Jonathan Leko,Right Wing
23488,Mario Suárez Mata,Right Defensive Midfield
23635,John Ruddy,Goalkeeper
23663,Dieumerci Mbokani Bezua,Center Forward
23742,Vadis Odjidja-Ofoe,Right Midfield
24120,Jamie Sterry,Center Attacking Midfield
24380,Tetchi Jores Charlemagne Ulrich Okore,Right Center Back
24743,Gary Hooper,Right Center Midfield
24888,Adam Federici,Goalkeeper
25351,Alexandre Rodrigues da Silva,Center Forward
26207,Fabricio Coloccini,Left Center Back
26696,Arouna Koné,Left Wing
26699,Emmanuel Adebayor,Center Forward
27053,Alexandre Dimitri Song-Billong,Center Defensive Midfield
27146,Aly Cissokho,Left Back
27853,Mauro Matías Zárate,Right Wing
27949,Juan Manuel Iturbe Arévalo,Right Midfield
28100,Ramires Santos do Nascimento,Right Defensive Midfield
28247,Libor Kozák,Center Forward
28559,Enner Remberto Valencia Lastra,Center Forward
28782,Ritchie De Laet,Right Back
29382,Shaun MacDonald,Right Center Midfield
30289,Papiss Demba Cissé,Center Forward
30702,Brendan Joel Zibusiso Galloway,Left Back
31296,Sébastien Aymar Bassong Nguena,Left Center Back
31904,Giedrius Arlauskis,Goalkeeper
36983,Juan Carlos Paredes Reasco,Right Back
38412,Kolo Habib Touré,Right Center Back
40118,Ikechi Anya,Left Back
40121,Philipp Wollscheid,Left Center Back
40122,Oscar dos Santos Emboaba Júnior,Center Attacking Midfield
40123,Robert Huth,Left Center Back
40124,Rickie Lambert,Right Center Forward
40125,Steven Pienaar,Left Wing
40127,Ryan Mason,Left Defensive Midfield
40130,Victor Chinedu Anichebe,Center Forward
40218,Sylvain Distin,Left Center Back
40366,Wes Brown,Left Center Back
40453,Segundo Víctor Ibarbo Guerrero,Right Midfield
41082,Steve Sidwell,Center Attacking Midfield
41185,Jakob Haugaard,Goalkeeper
42699,Gabriel Imuetinyan Agbonlahor,Center Forward
42700,Micah Richards,Right Center Back
42701,Kieran Richardson,Left Back
42702,Modibo Maïga,Center Forward
42703,Mikel Arteta Amatriain,Right Center Midfield
42899,Gabriel Antoine Obertan,Left Wing
42900,Cheik Ismaël Tioté,Right Center Midfield
42901,Osazemwinde Peter Odemwingie,Right Wing
42902,Adam Johnson,Right Wing
42946,Guangtai Jiang,Right Back
42947,Leon Osman,Left Center Midfield
43081,Almen Abdi,Right Midfield
43121,Kelvin Davis,Goalkeeper
43591,Marvin Emnes,Right Wing
43627,Jordi Gómez García-Penche,Left Center Midfield
43695,Brede Hangeland,Left Center Back
43757,Yoan Gouffran,Left Wing
45014,Tokelo Anthony Rantie,Center Forward
45389,Thomas Robson,Left Back
48634,"Charles N""Zogbia",Left Wing
50245,Marouane Chamakh,Center Forward
75899,Kevin Toner,Left Center Back
128703,Dionatan do Nascimento Teixeira,Left Center Back
128704,Emmanuel Emenike,Center Forward
129558,Tony Hibbert,Right Back
129559,Rees Greenwood,Left Midfield
