event_id,shot_statsbomb_xg,shot_outcome,shot_body_part,shot_type,shot_technique,shot_first_time,shot_one_on_one,end_x,end_y,end_z
c2efcf8a-a8cb-4fdb-ae09-b1e9e2fbe8c2,0.08304733,Goal,Left Foot,Open Play,Normal,False,False,120.0,41.5,0.2
9a693352-6c74-42f8-a3f0-407b047cb3c5,0.47353765,Goal,Right Foot,Open Play,Half Volley,False,False,120.0,41.7,0.2
370be3a1-a05a-4a5c-a699-8849d41ac04e,0.04003388,Blocked,Left Foot,Open Play,Normal,False,False,112.1,28.5,
a6792a4e-d093-4e0a-9b16-b5d0fa8299ed,0.04605863,Blocked,Left Foot,Open Play,Normal,False,False,100.2,41.7,
6fa0bdd7-5aa5-46fb-8203-dc094d9cb935,0.051963665,Off T,Right Foot,Open Play,Normal,False,False,120.0,47.5,5.8
15c39df2-fb47-4d2b-b671-20c8bb40d02f,0.036685802,Blocked,Left Foot,Open Play,Normal,False,False,96.5,42.2,
2f14d919-3592-4106-8892-ef9496401ec6,0.04182428,Blocked,Left Foot,Open Play,Normal,True,False,96.9,32.7,
c7ef76ca-bd00-43c0-bb7c-0218196e04d2,0.06185592,Off T,Head,Open Play,Normal,False,False,120.0,45.7,0.9
6e97a92d-6e58-4215-8593-eb82f908f92f,0.060505845,Off T,Right Foot,Open Play,Normal,False,False,120.0,42.3,4.9
32c48c6f-5da2-44c5-8326-41bfd865393e,0.24627207,Saved,Right Foot,Open Play,Normal,True,False,106.5,34.6,0.2
1922d79e-fd57-4b82-bb6f-d2229d916ddb,0.040344775,Off T,Right Foot,Open Play,Backheel,True,False,120.0,49.3,1.0
4fd2f46d-7e19-47d7-aef1-57d16043b138,0.011202154,Off T,Right Foot,Open Play,Half Volley,True,False,120.0,56.3,1.1
0ded9876-3b8e-467e-b10c-ad6cb61414cd,0.02168948,Blocked,Right Foot,Open Play,Normal,False,False,109.2,38.2,
b29ce190-c436-4f71-bf17-08582aeee7c1,0.04073945,Off T,Right Foot,Open Play,Normal,False,False,120.0,35.0,0.4
620549e4-030f-4c1e-b78f-cb5f5eb8dfd1,0.07997005,Off T,Right Foot,Open Play,Normal,False,False,120.0,45.5,2.6
fc9a85f1-cae3-4aba-9a4c-67c61c24d1be,0.070975944,Saved,Left Foot,Free Kick,Normal,False,False,118.5,42.5,1.4
da32d63e-dd67-4ba7-a01d-61b2fdcc379e,0.1705538,Goal,Left Foot,Open Play,Normal,True,False,120.0,37.2,2.0
b5b5d56d-8a15-401e-b1f8-c3f58f5bf9b5,0.044369604,Saved,Right Foot,Open Play,Normal,False,False,115.0,39.6,0.2
d8a2990c-c54c-4f21-b0d2-27a20079856d,0.060018376,Saved,Right Foot,Open Play,Normal,True,False,117.8,43.4,0.6
467c20db-36df-4e75-a83c-00cee48403c3,0.15700018,Blocked,Left Foot,Open Play,Normal,False,False,111.5,37.0,
78ac1073-8d5a-449d-8673-5527439c13cf,0.050232697,Blocked,Right Foot,Open Play,Normal,False,False,109.4,30.7,
24897a47-cddb-4a53-b5fe-e2f3bd3daaf2,0.0553231,Blocked,Left Foot,Open Play,Normal,False,False,101.9,38.7,
f1a7b8d6-a553-4654-8c26-186c8ede71a4,0.07187948,Wayward,Right Foot,Open Play,Normal,True,False,107.3,55.4,
3323a935-b1f6-4777-8bc9-dace0903af80,0.027857203,Off T,Right Foot,Open Play,Normal,True,False,120.0,46.1,7.2
514b63c8-84d6-4fe7-83e0-6de7d290c7e4,0.18745849,Off T,Head,Open Play,Normal,False,False,120.0,40.3,3.8
3c864dfb-8bb3-4302-a215-a4dd99f9e45e,0.061142743,Blocked,Right Foot,Open Play,Normal,False,False,101.3,30.4,
384ba78c-24cc-4bd9-b44a-5d2d57d49f91,0.02780257,Off T,Left Foot,Open Play,Normal,False,False,120.0,44.9,0.2
59a4a32a-1416-4ee3-a317-4e8955e39d0d,0.010173273,Off T,Right Foot,Open Play,Half Volley,True,False,120.0,49.7,1.9
f6ba8665-c823-437b-b821-573111571903,0.7835,Goal,Right Foot,Penalty,Normal,False,False,120.0,37.9,0.2
77f7e2ae-de85-4b4a-aeb7-7161d3a28fed,0.025012022,Saved,Left Foot,Open Play,Half Volley,True,False,115.6,38.4,0.4
945b9bc9-50a9-46c8-ba71-e11ba97c040b,0.029273072,Blocked,Left Foot,Open Play,Normal,False,False,99.4,49.2,
97aeb6d1-7f34-46ae-a4dd-dea6e88950bc,0.021157173,Blocked,Left Foot,Open Play,Half Volley,True,False,99.8,32.2,
e66eaa0b-c03b-47b3-af73-20d7c20ce36e,0.009524559,Off T,Right Foot,Free Kick,Normal,False,False,119.9,40.3,5.5
11f001cb-35cb-4099-8613-4b23bdee45b3,0.022187093,Off T,Right Foot,Open Play,Normal,True,False,120.0,51.8,6.1
ea9fd2bd-8ca7-44ae-9af5-5635dcb81bfe,0.0711544,Saved,Left Foot,Open Play,Normal,False,True,118.8,35.7,0.0
8ffcaed2-3193-47e6-851e-bfdcb041b784,0.2364075,Off T,Right Foot,Open Play,Volley,True,False,120.0,42.2,5.8
47f5e815-0607-4b58-8940-b690442bd7be,0.09807823,Goal,Head,Open Play,Normal,False,False,120.0,42.7,1.9
1f0178b2-9be8-42f9-ac18-f181af9e43c1,0.6640972,Saved,Right Foot,Open Play,Normal,True,False,118.9,37.6,0.2
89cf5919-fb3a-475d-bf39-844b4f9a4e89,0.008852186,Saved,Right Foot,Open Play,Normal,False,False,116.6,43.6,1.6
2e054455-b4b3-46fb-8600-e0bf56fa168e,0.044144683,Blocked,Right Foot,Open Play,Normal,False,False,100.3,38.0,
8b210d60-4a7b-4950-8071-bdef45bdabcc,0.080989026,Off T,Left Foot,Open Play,Volley,True,False,120.0,31.8,0.2
54965736-2e1f-4c5a-adc5-e1e4030d4eef,0.117855705,Saved,Left Foot,Open Play,Normal,True,False,117.3,37.5,0.0
55362362-aa68-46b8-bce6-5d11c789adde,0.037988596,Blocked,Right Foot,Open Play,Half Volley,True,False,99.3,41.9,
f9b522e0-3048-4a49-baa2-0a2375830381,0.028959522,Blocked,Left Foot,Open Play,Normal,False,False,100.1,39.9,
2e2106fc-4c9a-4b3f-8efb-09f4c283634e,0.007500792,Saved,Right Foot,Free Kick,Normal,False,False,119.1,45.1,0.4
4b6f9de1-8f11-4f9e-9ec5-29ae0e8e84e4,0.045392744,Off T,Head,Open Play,Normal,False,False,120.0,46.3,5.5
d7d73bc8-a99d-4770-84d1-997fbbdd44bb,0.23600088,Goal,Right Foot,Open Play,Half Volley,False,False,120.0,43.0,0.0
f1ce0367-8228-4b8b-8f1b-1a217799fda2,0.015154537,Blocked,Left Foot,Open Play,Normal,False,False,105.6,32.9,
bb3cd50f-278b-4c92-9753-04ea36851435,0.025108235,Post,Left Foot,Open Play,Volley,True,False,120.0,35.9,0.5
fb256723-311e-4e44-8960-694b35eebc6e,0.015308936,Off T,Right Foot,Open Play,Normal,False,False,120.0,43.4,5.7
376873b1-f078-40c0-a149-841982187a8e,0.044581,Blocked,Right Foot,Open Play,Normal,True,False,100.8,35.9,
4d21cbcc-aa9f-4b2b-9511-9d7619001a6b,0.06282994,Off T,Head,Open Play,Normal,False,False,120.0,49.1,0.9
6071897b-7c23-46a4-ab7e-8d828c93d532,0.104912326,Off T,Head,Open Play,Normal,False,False,120.0,40.1,3.4
582e4334-6a74-4633-bfa3-a43bf56953c9,0.07424382,Goal,Head,Open Play,Normal,False,False,120.0,37.4,0.5
c820a676-207c-421d-95b2-d32071ab28e7,0.028207658,Blocked,Left Foot,Open Play,Normal,True,False,101.8,50.7,
6c49f593-20b2-40f7-9abf-60d2d96e1854,0.18901204,Saved,Head,Open Play,Normal,False,False,118.3,40.4,1.2
1858a076-9e22-498a-8350-cb54be2b2be8,0.03132043,Saved,Right Foot,Open Play,Normal,False,False,116.2,42.6,0.9
c783c9dc-85c8-456f-a6df-2489c4dafb87,0.13698411,Blocked,Right Foot,Open Play,Normal,False,False,109.5,34.4,
6de1099a-2bd6-424c-aaaf-0df760271f30,0.033643987,Off T,Right Foot,Open Play,Normal,False,False,120.0,44.9,1.1
67f87b9e-d318-4e2e-bca8-c73038b585cd,0.3143006,Off T,Right Foot,Open Play,Half Volley,True,False,120.0,44.8,1.2
cc7267de-5941-4910-a076-58ca53143c4e,0.3390156,Saved Off Target,Left Foot,Open Play,Volley,True,False,116.9,35.8,1.6
4cb8f367-91b5-428e-b4ce-5141408c6a28,0.0873601,Wayward,Left Foot,Open Play,Normal,False,False,119.5,45.3,
f0d5439f-1cc4-44f8-9826-26a2c04f5f1f,0.021775935,Blocked,Right Foot,Open Play,Normal,False,False,94.6,39.1,
246a7c6b-357c-49a0-b395-e2b0546dac9a,0.057736423,Wayward,Head,Open Play,Normal,False,False,113.8,49.3,
e18fb528-6794-4c9f-996f-2126dc5b9553,0.044765577,Off T,Left Foot,Open Play,Normal,True,False,120.0,34.3,5.2
