"player_id","player_name","position_name","season","events","passes","shots","carries","pressures","goals","xg","assists"
3262,"Łukasz Fabiański","Goalkeeper","2015/2016","3077","1212","1","550","5","0","0.10419701","1"
3619,"Alex McCarthy","Goalkeeper","2015/2016","565","220","0","86","1","0","0","0"
5108,"Glyn Oliver Myhill","Goalkeeper","2015/2016","1582","661","0","239","0","0","0","0"
18672,"Mark Bunn","Goalkeeper","2015/2016","614","270","0","80","2","0","0","0"
12608,"Bradley Guzan","Goalkeeper","2015/2016","2095","840","0","358","2","0","0","0"
20074,"Artur Boruc","Goalkeeper","2015/2016","2191","913","0","340","4","0","0","0"
9914,"Danny Ward","Goalkeeper","2015/2016","173","58","0","34","0","0","0","0"
3509,"Thibaut Courtois","Goalkeeper","2015/2016","1583","638","0","226","4","0","0","0"
3461,"Petr Čech","Goalkeeper","2015/2016","2563","1036","0","460","3","0","0","0"
9467,"Timothy Michael Krul","Goalkeeper","2015/2016","709","281","0","116","5","0","0","0"
3537,"Jack Butland","Goalkeeper","2015/2016","2495","1013","0","431","6","0","0","1"
43121,"Kelvin Davis","Goalkeeper","2015/2016","76","29","0","6","0","0","0","0"
4892,"Sergio Germán Romero","Goalkeeper","2015/2016","362","140","0","83","1","0","0","0"
9014,"Declan Rudd","Goalkeeper","2015/2016","842","334","0","147","4","0","0","0"
5109,"Paulo Dino Gazzaniga","Goalkeeper","2015/2016","153","64","0","26","0","0","0","0"
3487,"Julián Speroni","Goalkeeper","2015/2016","158","68","0","22","0","0","0","0"
41185,"Jakob Haugaard","Goalkeeper","2015/2016","362","145","0","63","0","0","0","0"
9539,"Vito Mannone","Goalkeeper","2015/2016","1510","633","0","256","2","0","0","0"
3649,"Karl Darlow","Goalkeeper","2015/2016","609","246","0","93","2","0","0","0"
3291,"Joe Hart","Goalkeeper","2015/2016","2045","848","0","350","4","0","0","0"
3609,"Michel Vorm","Goalkeeper","2015/2016","128","49","0","31","0","0","0","0"
6871,"Costel Fane Pantilimon","Goalkeeper","2015/2016","1403","560","0","224","6","0","0","0"
3807,"Ryan Allsop","Goalkeeper","2015/2016","26","10","0","5","0","0","0","0"
31904,"Giedrius Arlauskis","Goalkeeper","2015/2016","21","6","0","5","0","0","0","0"
9985,"Ádám Bogdán","Goalkeeper","2015/2016","121","49","0","18","0","0","0","0"
3099,"Hugo Lloris","Goalkeeper","2015/2016","3098","1217","0","600","1","0","0","0"
3522,"Heurelho da Silva Gomes","Goalkeeper","2015/2016","2651","1132","0","371","7","0","0","0"
20446,"Shay Given","Goalkeeper","2015/2016","181","67","0","23","0","0","0","0"
20066,"Darren Randolph","Goalkeeper","2015/2016","457","192","1","77","0","0","0.050556086","0"
3096,"Rob Elliot","Goalkeeper","2015/2016","1647","688","0","250","2","0","0","0"
3539,"Simon Mignolet","Goalkeeper","2015/2016","2362","934","0","439","3","0","0","0"
3333,"David de Gea Quintana","Goalkeeper","2015/2016","2353","956","0","407","1","0","0","0"
3659,"Wilfredo Daniel Caballero","Goalkeeper","2015/2016","223","91","0","36","1","0","0","0"
3488,"Wayne Hennessey","Goalkeeper","2015/2016","2064","869","0","316","3","0","0","0"
3339,"Asmir Begović","Goalkeeper","2015/2016","1049","410","0","174","6","0","0","0"
4276,"David Ospina Ramírez","Goalkeeper","2015/2016","305","127","0","47","0","0","0","0"
20201,"Maarten Stekelenburg","Goalkeeper","2015/2016","1166","467","0","205","3","0","0","0"
3970,"Fraser Forster","Goalkeeper","2015/2016","1178","487","0","191","1","0","0","0"
23635,"John Ruddy","Goalkeeper","2015/2016","2189","905","0","366","6","0","0","0"
3815,"Kasper Schmeichel","Goalkeeper","2015/2016","2957","1220","0","484","6","0","0","1"
3541,"Chris Brunt","Left Back","2015/2016","2416","851","17","466","205","0","0.613524584","4"
3515,"Alberto Moreno Pérez","Left Back","2015/2016","5278","1743","34","1159","432","1","1.4703509805999995","4"
9629,"Stephen Kingsley","Left Back","2015/2016","492","155","1","102","44","0","0.015957909","1"
3321,"Patrick van Aanholt","Left Back","2015/2016","4525","1417","46","975","442","4","2.3924948018","4"
15542,"Jake-Liam Clarke-Salter","Left Back","2015/2016","27","6","0","4","6","0","0","0"
3498,"Ignacio Monreal Eraso","Left Back","2015/2016","6540","2259","13","1453","428","0","1.202076251","4"
9627,"Neil Taylor","Left Back","2015/2016","4866","1639","9","1071","347","0","0.18414756680000002","1"
40118,"Ikechi Anya","Left Back","2015/2016","2799","866","10","602","201","0","0.734730166","2"
3957,"César Azpilicueta Tanco","Left Back","2015/2016","6489","2198","11","1301","631","2","1.5438206625","4"
20045,"Ryan Bertrand","Left Back","2015/2016","4653","1565","13","992","374","1","1.2763177975000002","3"
3651,"Matt Targett","Left Back","2015/2016","1644","555","3","351","123","0","0.144222356","1"
5836,"Bryan Oviedo","Left Back","2015/2016","1830","571","5","396","160","0","0.2923534635","1"
3062,"Aaron Cresswell","Left Back","2015/2016","5583","1874","27","1292","337","2","0.8002924175999999","4"
9628,"James Grant Chester","Left Back","2015/2016","1273","404","0","218","159","0","0","0"
45389,"Thomas Robson","Left Back","2015/2016","150","56","0","29","10","0","0","0"
10967,"Robert Brady","Left Back","2015/2016","5376","1608","54","1129","530","3","3.111677499099999","2"
3520,"Jeffrey Schlupp","Left Back","2015/2016","2259","557","25","504","195","1","2.1363105979999997","2"
27146,"Aly Cissokho","Left Back","2015/2016","2716","934","4","601","207","0","0.0875349715","0"
3518,"Leighton Baines","Left Back","2015/2016","3060","1023","8","666","287","2","1.1736909825","1"
3666,"Robert Kenedy Nunes do Nascimento","Left Back","2015/2016","1270","323","13","302","102","1","0.4282245819999999","0"
3467,"Erik Pieters","Left Back","2015/2016","5971","1956","5","1234","599","0","0.07677497999999999","1"
5596,"Aleksandar Kolarov","Left Back","2015/2016","5145","1774","41","1224","232","3","1.8921825559999996","5"
4347,"Jordan Amavi","Left Back","2015/2016","1786","529","4","394","154","0","0.0751711596","2"
18947,"Sébastien Pocognoli","Left Back","2015/2016","74","30","0","15","2","0","0","1"
16027,"Kevin Mbabu","Left Back","2015/2016","218","56","1","36","42","0","0.036821686","0"
3495,"Joe Gomez","Left Back","2015/2016","847","273","1","204","52","0","0.016134378","1"
30702,"Brendan Joel Zibusiso Galloway","Left Back","2015/2016","1861","527","9","380","243","0","0.9387937190000001","1"
3345,"Charlie Daniels","Left Back","2015/2016","6606","2239","23","1565","427","3","2.934878228","5"
3065,"Paul Dummett","Left Back","2015/2016","2610","880","5","445","320","1","0.335921315","0"
3306,"Nathan Aké","Left Back","2015/2016","2727","905","17","455","302","1","1.83155637","1"
3086,"Ben Davies","Left Back","2015/2016","2537","890","9","516","194","0","0.560651818","2"
4884,"Pape N''Diaye Souaré","Left Back","2015/2016","4905","1685","11","1103","276","0","0.44084442079999997","1"
10779,"Cameron Borthwick-Jackson","Left Back","2015/2016","1401","484","1","318","107","0","0.018527634","1"
3391,"Rolando Aarons","Left Back","2015/2016","701","170","2","138","97","1","0.15101469","1"
3576,"Martin Olsson","Left Back","2015/2016","2238","723","7","437","202","1","0.213022623","2"
13448,"Bradley Shaun Smith","Left Back","2015/2016","571","170","1","110","74","0","0.026966754","0"
3382,"Luke Shaw","Left Back","2015/2016","1053","351","1","256","68","0","0.09207138","1"
12325,"Abdul Rahman Baba","Left Back","2015/2016","2125","651","6","455","235","0","0.36923715599999984","1"
3323,"Tyrone Mings","Left Back","2015/2016","14","2","0","2","1","0","0","0"
3725,"José Holebas","Left Back","2015/2016","1702","531","13","386","119","0","0.5577538845000001","0"
3602,"Faustino Marcos Alberto Rojo","Left Back","2015/2016","2604","902","8","545","225","0","0.29140844099999996","2"
3594,"Danny Rose","Left Back","2015/2016","4417","1433","26","990","299","1","0.8995505092999999","4"
3812,"Christian Fuchs","Left Back","2015/2016","4609","1665","19","779","497","0","1.0004570380000002","4"
4840,"Massadio Haïdara","Left Back","2015/2016","985","319","3","216","79","0","0.0439196815","0"
42701,"Kieran Richardson","Left Back","2015/2016","1136","347","7","219","127","0","0.154056552","2"
20302,"Gaël Clichy","Left Back","2015/2016","2447","839","2","591","158","0","0.049342582999999995","1"
20527,"Jonas Olsson","Left Center Back","2015/2016","1818","575","6","313","159","1","1.06203607","1"
40121,"Philipp Wollscheid","Left Center Back","2015/2016","3895","1199","3","814","353","0","0.134113701","0"
3611,"Kevin Wimmer","Left Center Back","2015/2016","1540","543","1","383","51","0","0.09628442","0"
3394,"Laurent Koscielny","Left Center Back","2015/2016","5170","1671","20","1210","269","4","3.20216603","0"
3471,"Dejan Lovren","Left Center Back","2015/2016","3211","1078","22","690","211","0","1.5049366939999997","0"
16890,"John O''Shea","Left Center Back","2015/2016","1929","611","8","327","185","0","0.43619523600000004","0"
3483,"Mamadou Sakho","Left Center Back","2015/2016","3678","1244","6","889","125","1","0.9238965269999999","0"
43695,"Brede Hangeland","Left Center Back","2015/2016","779","265","5","154","43","0","0.6918013279999999","0"
20046,"Phil Jagielka","Left Center Back","2015/2016","3250","1062","11","736","193","0","0.6603465789999999","0"
3041,"Ciaran Clark","Left Center Back","2015/2016","1951","584","10","395","174","1","1.2308838428","0"
6560,"Marc Muniesa Martínez","Left Center Back","2015/2016","1816","558","3","385","184","0","0.05676740100000001","0"
40123,"Robert Huth","Left Center Back","2015/2016","2610","794","30","390","252","3","2.599811442","0"
3081,"Jamaal Lascelles","Left Center Back","2015/2016","1481","461","4","302","99","2","0.838523107","0"
3693,"Damien Delaney","Left Center Back","2015/2016","3356","1072","21","657","238","2","2.492365992","3"
4629,"José Ramiro Funes Mori","Left Center Back","2015/2016","4084","1299","24","949","214","4","2.0404576734","0"
3389,"Eliaquim Mangala","Left Center Back","2015/2016","3229","1011","6","750","238","0","0.787040998","1"
128703,"Dionatan do Nascimento Teixeira","Left Center Back","2015/2016","25","7","0","5","3","0","0","0"
3077,"Jan Vertonghen","Left Center Back","2015/2016","4539","1526","9","1119","188","0","0.674199291","0"
9461,"Timm Klose","Left Center Back","2015/2016","914","283","4","149","79","1","0.47455927000000003","0"
20287,"John Terry","Left Center Back","2015/2016","2530","933","10","482","116","1","1.154272665","0"
75899,"Kevin Toner","Left Center Back","2015/2016","416","125","2","77","52","0","0.114883628","1"
4746,"Younes Kaboul","Left Center Back","2015/2016","2434","692","11","430","286","0","0.7563836585999998","1"
3669,"Virgil van Dijk","Left Center Back","2015/2016","4457","1412","29","945","272","3","2.999237515","0"
3288,"Miguel Ángel Britos Cabrera","Left Center Back","2015/2016","2374","772","7","446","171","0","0.6520756639999999","2"
3843,"Angelo Obinze Ogbonna","Left Center Back","2015/2016","3022","954","6","654","238","0","0.514565924","0"
20285,"Joleon Lescott","Left Center Back","2015/2016","3270","1043","11","654","277","2","1.5410286780000004","0"
40366,"Wes Brown","Left Center Back","2015/2016","626","198","0","120","51","0","0","0"
3341,"Steve Cook","Left Center Back","2015/2016","4834","1641","26","1078","189","4","2.351145965","0"
4700,"Matthew Pennington","Left Center Back","2015/2016","531","172","2","131","22","0","0.12124941","0"
3311,"Daley Blind","Left Center Back","2015/2016","6634","2215","4","1511","541","1","0.1103781186","1"
3644,"Ashley Williams","Left Center Back","2015/2016","5834","1884","16","1350","269","2","2.0374598649999998","2"
11012,"Jonathan Grant Evans","Left Center Back","2015/2016","3434","1101","9","664","357","1","2.0259355855","2"
31296,"Sébastien Aymar Bassong Nguena","Left Center Back","2015/2016","2961","950","20","560","250","1","1.846760696","0"
40218,"Sylvain Distin","Left Center Back","2015/2016","1323","479","2","286","76","0","0.16814246000000002","0"
3300,"Maya Yoshida","Left Center Back","2015/2016","1644","567","2","367","100","1","0.52635944","0"
26207,"Fabricio Coloccini","Left Center Back","2015/2016","2826","856","10","592","295","1","1.049790611","0"
9636,"Rushian Hepburn-Murphy","Left Center Forward","2015/2016","12","0","0","3","2","0","0","0"
9519,"Kyle Lafferty","Left Center Forward","2015/2016","22","7","0","4","0","0","0","0"
4630,"Saido Berahino","Left Center Forward","2015/2016","2642","473","36","524","265","4","6.222151514","0"
10960,"Jamie Vardy","Left Center Forward","2015/2016","4328","679","118","607","493","24","22.298685119","6"
5458,"Odion Jude Ighalo","Left Center Forward","2015/2016","4938","707","111","854","498","15","16.919277522399998","2"
4097,"Matt Grimes","Left Center Midfield","2015/2016","164","46","1","38","18","0","0.04053711","0"
4045,"Leroy Fer","Left Center Midfield","2015/2016","1635","435","5","379","165","0","0.26149118","2"
3304,"Harry Arter","Left Center Midfield","2015/2016","3927","1042","36","895","468","1","1.0289659574","0"
10326,"João Carlos Vilaça Teixeira","Left Center Midfield","2015/2016","16","3","0","3","3","0","0","0"
