cluster,player_name,position_name,events,passes,shots,carries,pressures,goals,xg,assists,pass_ratio,shot_ratio,carry_ratio,pressure_ratio,goal_conversion,xg_per_shot,assist_ratio
0,Jamie Vardy,Left Center Forward,4328,679,118.0,607,493,24,22.298685119,6,0.15688539741219962,0.027264325323475048,0.14024953789279113,0.113909426987061,0.2033898305084746,0.1889719077881356,0.008836524300441826
0,Libor Kozák,Center Forward,418,73,6.0,60,36,0,0.6748675369999999,0,0.17464114832535885,0.014354066985645933,0.14354066985645933,0.0861244019138756,0.0,0.11247792283333331,0.0
0,Fraizer Campbell,Center Forward,535,83,4.0,73,85,0,0.5991128099999999,0,0.15514018691588785,0.007476635514018692,0.13644859813084112,0.1588785046728972,0.0,0.14977820249999999,0.0
0,Bertrand Isidore Traoré,Center Forward,733,137,17.0,135,92,2,1.61311014,1,0.1869031377899045,0.023192360163710776,0.18417462482946795,0.12551159618008187,0.11764705882352941,0.09488883176470589,0.0072992700729927005
0,Charlie Austin,Center Forward,358,55,8.0,44,40,1,0.5978139399999999,0,0.15363128491620112,0.0223463687150838,0.12290502793296089,0.11173184357541899,0.125,0.07472674249999998,0.0
0,Saido Berahino,Left Center Forward,2642,473,36.0,524,265,4,6.222151514,0,0.17903103709311127,0.013626040878122634,0.198334595003785,0.10030280090840273,0.1111111111111111,0.17283754205555557,0.0
0,Lewis Grabban,Center Forward,1663,327,19.0,335,219,1,2.694718444,0,0.19663259170174383,0.011425135297654841,0.20144317498496692,0.13168971737823212,0.05263157894736842,0.1418272865263158,0.0
0,Dieumerci Mbokani Bezua,Center Forward,2805,472,37.0,417,158,7,6.024289655,1,0.16827094474153298,0.013190730837789662,0.14866310160427806,0.056327985739750445,0.1891891891891892,0.1628186393243243,0.00211864406779661
0,Jermain Defoe,Center Forward,3154,439,88.0,526,348,15,13.2098756745,1,0.1391883322764743,0.027901077996195307,0.16677235256816741,0.11033608116677235,0.17045454545454544,0.15011222357386364,0.002277904328018223
0,Éderzito António Macedo Lopes,Center Forward,519,85,5.0,86,51,0,0.395401042,0,0.16377649325626203,0.009633911368015413,0.16570327552986513,0.09826589595375723,0.0,0.07908020839999999,0.0
