,50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
3540,,,,,,,,,,,,,,,,,,0.576027,,,,,,,,,,,,,83300f63-e4e8-487d-baae-fccaa26d61d0,1778,,,"[80.6, 73.8]",3895302,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Jonas Hofmann,8804.0,Right Attacking Midfield,60,Werder Bremen,176,"['2a5612eb-7c16-4422-bfce-0d5c36ceae64', '37544334-a7b9-47ca-968a-4592e8304e92']",27,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:39:27.641,Pressure,
3541,,,,,,,,,,,,,,,,,,0.306661,,,,,,,,,,,,,250cc2e2-ae79-4666-83ca-4aa9d438bbdc,1780,,,"[82.7, 64.5]",3895302,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Granit Xhaka,3500.0,Right Defensive Midfield,60,Werder Bremen,176,"['3a85d28a-70e1-445b-b649-21c119dde306', '52d1db06-de11-47a0-bad7-c8435e267405', '7746fe6b-e9d1-480b-916e-f6a5a21697d0']",28,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:39:28.697,Pressure,
3542,,,,,,,,,,,,,,,,,,0.833478,,,,,,,,,,,,,f7532725-511a-4251-82a5-a28250d07e2a,1786,,,"[103.8, 45.0]",3895302,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Victor Okoh Boniface,32289.0,Center Forward,60,Werder Bremen,176,['f03bd741-7c0a-4243-9e93-edf4a5c21e1f'],31,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:39:31.607,Pressure,
3543,,,,,,,,,,,,,,,,,,0.655548,,,,,,,,,,,,,8796021d-55d9-455b-8f58-349fb9285ac9,1790,,,"[92.0, 72.3]",3895302,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Granit Xhaka,3500.0,Right Defensive Midfield,60,Werder Bremen,176,['352519e8-ef1e-4806-9548-2f506106dc2f'],35,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:39:35.459,Pressure,
3544,,,,,,,,,,,,,,,,,,0.859821,,,,,,,,,,,,,48c67190-9e4a-4c52-a4ed-0bef41fb7b3e,1797,,,"[28.8, 10.4]",3895302,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Piero Martín Hincapié Reyna,38004.0,Left Wing Back,60,Werder Bremen,176,['c0f932f0-15f6-439a-83d2-d11c60b4bca6'],44,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:39:44.716,Pressure,
3545,,,,,,,,,,,,,,,,,,0.107909,,,,,,,,,,,,,6d21109b-7b70-46e0-9684-6f5d4d2b2763,1802,,,"[91.3, 59.9]",3895302,39,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Mitchell Weiser,8576.0,Right Wing Back,60,Werder Bremen,176,['8b21880a-83ac-447b-8c22-35f0ac88f9f7'],47,,,,,,,,,,,,,,,,,Werder Bremen,176,00:39:47.090,Pressure,
3546,,,,,,,,,,,,,True,,,,,0.176222,,,,,,,,,,,,,a596faf5-9be4-45f4-b0e7-f11940179174,1806,,,"[82.2, 60.6]",3895302,39,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Leonardo Bittencourt,8826.0,Right Center Midfield,61,Bayer Leverkusen,904,"['9916f398-05ec-45f9-bcbc-75c718915ab6', 'ed807506-5bec-4f42-b611-1a094d57d644']",48,,,,,,,,,,,,,,,,,Werder Bremen,176,00:39:48.396,Pressure,
3547,,,,,,,,,,,,,True,,,,,0.189837,,,,,,,,,,,,,2d87b121-ba93-4d44-bb5b-043b91092029,1810,,,"[92.6, 56.2]",3895302,39,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nick Woltemade,34870.0,Right Center Forward,61,Bayer Leverkusen,904,['618b266a-f6a9-419c-8813-f1fc65dcc6ee'],50,,,,,,,,,,,,,,,,,Werder Bremen,176,00:39:50.067,Pressure,
3548,,,,,,,,,,,,,,,,,,0.274695,,,,,,,,,,,,,9b51e6e0-26a7-4048-b07a-210c643f2cbd,1844,,,"[56.7, 27.1]",3895302,40,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marvin Ducksch,12299.0,Left Center Forward,61,Bayer Leverkusen,904,"['246c4e52-a1ec-4072-b386-daaeef298c79', '5d009934-eced-42bd-934f-6a7c9303e796']",28,,,,,,,,,,,,,,,,,Werder Bremen,176,00:40:28.265,Pressure,
3549,,,,,,,,,,,,,,,,,,0.138352,,,,,,,,,,,,,301abfe1-c0ef-4502-b2fc-e713999026a8,1854,,,"[27.6, 8.1]",3895302,40,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Romano Schmid,8784.0,Left Center Midfield,61,Bayer Leverkusen,904,['ddca5d78-0a52-421d-bce4-5ebaf851b594'],36,,,,,,,,,,,,,,,,,Werder Bremen,176,00:40:36.148,Pressure,
3550,,,,,,,,,,,,,,,,,,0.263047,,,,,,,,,,,,,95a8cbe3-093c-42ee-ba17-85466643a81e,1859,,,"[20.8, 34.3]",3895302,40,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Christian Groß,31100.0,Center Back,61,Bayer Leverkusen,904,"['4a4d2c0a-7dfe-4b68-8a0b-0b58a0634db8', 'e91496c5-b85e-46b2-be8e-e2a062d20c3f']",39,,,,,,,,,,,,,,,,,Werder Bremen,176,00:40:39.005,Pressure,
3551,,,,,,,,,,,,,,,,,,0.54605,,,,,,,,,,,,,a19cb958-1930-43ac-a405-ef20ca42fe57,1864,,,"[97.7, 48.6]",3895302,40,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Victor Okoh Boniface,32289.0,Center Forward,61,Bayer Leverkusen,904,['9b1f6e05-484c-4249-a0b6-587c6ad95eba'],40,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:40:40.082,Pressure,
3552,,,,,,,,,,,,,,,,,,0.466065,,,,,,,,,,,,,7cd2203e-4abf-4c3a-aeee-a4a811f3d5d6,1881,,,"[60.9, 60.6]",3895302,40,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nick Woltemade,34870.0,Right Center Forward,61,Bayer Leverkusen,904,"['817809b2-17de-440b-8a5e-3a1c90309966', 'b11938f6-06bb-4ab9-890b-e5f4c300768b']",52,,,,,,,,,,,,,,,,,Werder Bremen,176,00:40:52.665,Pressure,
3553,,,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,41662824-d7d6-48bb-820e-70c313b4467c,1905,,,"[41.6, 66.6]",3895302,41,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Leonardo Bittencourt,8826.0,Right Center Midfield,61,Bayer Leverkusen,904,"['9bc0b506-9cc5-4fb8-933b-f223ba02011d', 'f740926a-679b-4210-88f3-b1b253ca2a18']",11,,,,,,,,,,,,,,,,,Werder Bremen,176,00:41:11.534,Pressure,
3554,,,,,,,,,,,,,,,,,,0.298203,,,,,,,,,,,,,608f5510-cbdd-4392-a837-969340b1d526,1909,,,"[51.7, 39.6]",3895302,41,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marvin Ducksch,12299.0,Left Center Forward,61,Bayer Leverkusen,904,"['740ef19e-cbef-40cf-89c0-967654c43d4d', '9b0225ea-8eb4-4476-a3ab-f110b0d65deb']",14,,,,,,,,,,,,,,,,,Werder Bremen,176,00:41:14.003,Pressure,
3555,,,,,,,,,,,,,,,,,,0.340054,,,,,,,,,,,,,8795e628-0232-4ff2-b410-54aec06aaf17,1916,,,"[28.4, 18.7]",3895302,41,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Felix Agu,28573.0,Left Wing Back,61,Bayer Leverkusen,904,"['b4760c2c-6cb3-4d0d-94ed-6c6eee7ecdb4', 'ef7992ea-7309-4c34-a5a2-f3e6d0fda565']",21,,,,,,,,,,,,,,,,,Werder Bremen,176,00:41:21.183,Pressure,
3556,,,,,,,,,,,,,,,,,,0.575865,,,,,,,,,,,,,0a2cf1d6-2130-42d2-896c-8c112962fb30,1920,,,"[35.3, 29.4]",3895302,41,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Senne Lynen,21865.0,Center Defensive Midfield,61,Bayer Leverkusen,904,['910ec664-69dc-45cb-9dad-c45f94ae3811'],23,,,,,,,,,,,,,,,,,Werder Bremen,176,00:41:23.384,Pressure,
3557,,,,,,,,,,,,,,,,,,0.854557,,,,,,,,,,,,,b5d4de2f-d8d8-40e3-9cff-771519be55c3,1924,,,"[43.7, 53.8]",3895302,41,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Nick Woltemade,34870.0,Right Center Forward,61,Bayer Leverkusen,904,"['3ac9db34-1b5d-4cab-bb4e-e3140441d494', '96164023-b7b7-4fc7-9458-48d4a3927420']",27,,,,,,,,,,,,,,,,,Werder Bremen,176,00:41:27.003,Pressure,
3558,,,,,,,,,,,,,,,,,,0.11334,,,,,,,,,,,,,a601bc5a-aa85-448b-a4d6-5163c1b9318a,1926,,,"[27.1, 57.0]",3895302,41,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Julián Malatini,51769.0,Right Center Back,61,Bayer Leverkusen,904,,28,,,,,,,,,,,,,,,,,Werder Bremen,176,00:41:28.384,Pressure,
